name;rating;convenience;security;functionality;comment
Курятник 85;2.3;4;4;2;Это здание построено из стандартных строительных материалов.
Петля 100;2.0;5;2;1;Это здание представляет собой типичный образец современной архитектуры.
ТЭЦ 23;2.6;1;2;3;Это здание имеет стандартную конструкцию.
Скворечник 89;1.7;4;1;2;У этого здания отличная архитектура.
Логово 62;0.8;5;1;1;Это здание имеет стандартную конструкцию.
Отель 37;1.4;5;5;2;Это здание не имеет особых архитектурных особенностей.
Скворечник 89;3.1;1;5;1;Это здание построено из стандартных строительных материалов.
Пандус 35;2.6;2;2;1;Это здание не имеет особых архитектурных особенностей.
Курятник 85;3.1;4;1;4;Это великолепное здание!
Верфь 31;4.1;2;4;2;Это здание не имеет особых архитектурных особенностей.
Скворечник 89;3.1;2;2;5;Это здание не имеет особых архитектурных особенностей.
Курятник 51;1.7;3;2;4;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Гнездо 16;0.9;3;1;3;Это великолепное здание!
Церковь 50;4.0;4;5;1;Это здание не имеет особых архитектурных особенностей.
Овчарня 67;1.5;5;3;2;Это здание имеет стандартную конструкцию.
Мостки 78;0.1;5;5;4;Мне нравится дизайн этого здания.
Бункер 57;4.3;1;3;1;Это здание представляет собой типичный образец современной архитектуры.
Канализация 71;0.9;2;2;1;Это здание имеет стандартную конструкцию.
Ламарий 79;4.8;1;2;4;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Док 30;1.9;2;5;2;Это здание представляет собой типичный образец современной архитектуры.
Электростанция 69;1.1;1;5;4;Это здание является примером функционального дизайна.
Газопровод 16;5.0;2;4;1;Это здание представляет собой типичный образец современной архитектуры.
Док 30;2.4;3;1;4;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Мостки 70;2.2;2;2;4;Это здание имеет стандартную конструкцию.
Улей 14;1.6;3;1;4;Это здание представляет собой типичный образец современной архитектуры.
Отель 37;2.8;4;3;3;Это здание не имеет особых архитектурных особенностей.
Тоннель 40;1.2;4;1;2;Это здание построено из стандартных строительных материалов.
Ламарий 79;4.7;2;5;4;Это здание построено из стандартных строительных материалов.
Кладбище 46;3.1;4;2;3;Это здание построено из стандартных строительных материалов.
Дуплянка 30;4.1;5;2;1;У этого здания отличная архитектура.
Логово 62;0.9;2;2;4;Это здание построено из стандартных строительных материалов.
Тоннель 30;3.8;2;4;3;Это здание построено из стандартных строительных материалов.
Страусятник 25;2.2;3;1;1;Это здание очень функционально.
Петля 100;0.3;3;5;5;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Гнездо 16;1.1;1;2;5;Это здание имеет стандартную конструкцию.
Институт 47;3.4;1;5;1;Это здание является примером функционального дизайна.
Гнездо 28;0.7;4;4;2;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Волчатник 91;2.0;3;4;3;Это здание не имеет особых архитектурных особенностей.
Цирк 63;4.5;3;4;3;Это здание представляет собой типичный образец современной архитектуры.
Нефтепровод 1;3.2;5;2;3;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Док 30;3.4;2;2;4;Это здание не имеет особых архитектурных особенностей.
Гнездо 16;1.3;1;4;2;Это здание построено из стандартных строительных материалов.
Шале 62;0.7;4;1;2;Это здание является примером функционального дизайна.
Лестница 83;1.8;5;5;2;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Петля 100;4.4;2;3;5;Это здание представляет собой типичный образец современной архитектуры.
Свиноферма 8;2.6;5;4;1;Это здание не имеет особых архитектурных особенностей.
Гусятник 50;3.5;3;1;3;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Газопровод 16;5.0;2;4;2;Это здание является примером функционального дизайна.
Свиноферма 8;4.1;5;1;4;Это здание не имеет особых архитектурных особенностей.
Эскалатор 93;0.6;4;2;5;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Церковь 50;3.6;1;2;3;Это здание имеет стандартную конструкцию.
Офис 88;1.7;1;2;2;Это здание имеет стандартную конструкцию.
Ферма 7;0.3;1;3;5;Это здание очень функционально.
Бункер 57;0.7;1;5;2;Это здание построено из стандартных строительных материалов.
Гараж 50;0.3;5;5;1;Это здание не имеет особых архитектурных особенностей.
Мостки 78;1.8;3;2;1;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Ресторан 42;4.2;3;1;3;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Шале 48;4.1;3;1;4;Это здание представляет собой типичный образец современной архитектуры.
Замок 46;4.6;1;5;1;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Улей 94;4.5;1;2;5;Это здание является примером функционального дизайна.
Путепровод 43;4.0;4;1;4;Это здание не имеет особых архитектурных особенностей.
Гараж 50;2.4;2;2;3;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Ресторан 74;2.7;2;1;1;Это здание прекрасно вписывается в окружающий ландшафт.
Страусятник 25;2.2;2;2;5;Это великолепное здание!
Парк 55;2.0;2;3;1;Это здание является примером функционального дизайна.
Страусятник 52;2.5;4;1;5;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Утятник 21;4.1;5;2;5;Это здание построено из стандартных строительных материалов.
Кошара 38;2.1;4;4;4;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Ресторан 74;1.6;5;2;1;Это здание является примером функционального дизайна.
Парк 16;2.0;3;5;2;Это здание не имеет особых архитектурных особенностей.
Ферма 7;4.8;2;4;4;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Склад 76;2.6;4;4;2;Это здание очень функционально.
Школа 1;3.1;1;4;2;Это здание является примером функционального дизайна.
Стадион 64;2.7;3;4;1;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Петля 100;0.7;2;4;5;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Овчарня 67;1.7;4;4;5;Это здание не имеет особых архитектурных особенностей.
Дуплянка 30;3.0;2;1;2;Это великолепное здание!
Ресторан 42;2.7;3;1;2;Это здание построено из стандартных строительных материалов.
Кафе 90;2.6;1;1;2;Это здание очень функционально.
Скворечник 89;5.0;5;1;3;Это великолепное здание!
Школа 1;4.6;3;2;4;Мне нравится дизайн этого здания.
Кошара 38;4.7;2;5;4;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Овчарня 67;1.0;2;4;2;Это здание является примером функционального дизайна.
Отель 37;0.2;5;4;5;Это здание построено из стандартных строительных материалов.
Пирс 96;1.1;4;2;4;У этого здания отличная архитектура.
Гусятник 98;3.0;1;5;3;Это здание прекрасно вписывается в окружающий ландшафт.
Эскалатор 93;3.1;3;1;3;Это здание построено из стандартных строительных материалов.
Утятник 22;5.0;2;4;5;Это здание построено из стандартных строительных материалов.
Ферма 7;2.3;1;4;1;Это здание имеет стандартную конструкцию.
Бункер 57;1.7;2;4;1;Это здание построено из стандартных строительных материалов.
Замок 46;0.2;2;2;3;Это здание является примером функционального дизайна.
Дуплянка 30;3.5;2;5;4;Это здание прекрасно вписывается в окружающий ландшафт.
Утятник 21;2.4;4;4;5;Это здание очень функционально.
Улей 94;1.4;4;1;4;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Склад 16;1.4;1;5;2;Это великолепное здание!
Петля 100;1.9;5;1;5;Это здание очень функционально.
Бункер 57;0.2;3;2;1;Это здание имеет стандартную конструкцию.
Цирк 63;3.5;4;4;5;Это здание очень функционально.
Церковь 50;4.1;1;1;2;Это здание не имеет особых архитектурных особенностей.
Мануфактура 89;4.8;1;3;4;Это здание имеет стандартную конструкцию.
Верфь 25;0.6;4;1;2;Это здание прекрасно вписывается в окружающий ландшафт.
Школа 1;4.4;5;4;4;Это здание является примером функционального дизайна.
Автомойка 76;4.8;5;5;4;У этого здания отличная архитектура.
Склад 76;1.6;4;4;3;Это здание имеет стандартную конструкцию.
Электростанция 69;3.2;1;4;4;Это здание имеет стандартную конструкцию.
Больница 70;2.8;3;5;3;Это здание прекрасно вписывается в окружающий ландшафт.
Цирк 63;5.0;5;1;2;Это здание представляет собой типичный образец современной архитектуры.
Кафе 87;4.1;3;3;4;Это здание не имеет особых архитектурных особенностей.
Ангар 18;3.7;5;3;3;Это здание построено из стандартных строительных материалов.
Док 30;3.6;2;5;4;Это здание не имеет особых архитектурных особенностей.
Ферма 7;2.4;1;3;1;Это здание имеет стандартную конструкцию.
Борть 76;2.5;4;3;1;Это здание имеет стандартную конструкцию.
Гнездо 84;1.3;5;4;2;Это здание не имеет особых архитектурных особенностей.
Кладбище 46;2.7;4;3;4;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Церковь 50;2.8;1;3;4;Это здание имеет стандартную конструкцию.
Улей 14;4.8;2;5;4;Это здание имеет стандартную конструкцию.
Гусятник 98;0.7;5;4;4;Это здание не имеет особых архитектурных особенностей.
Свиноферма 8;1.0;1;5;1;Это здание не имеет особых архитектурных особенностей.
Курятник 85;4.4;2;5;4;Это здание имеет стандартную конструкцию.
Верфь 25;4.4;1;5;1;Это великолепное здание!
Док 30;4.5;1;4;5;Это здание очень функционально.
Овчарня 67;0.9;4;1;2;Это здание не имеет особых архитектурных особенностей.
Верблюжатник 30;2.2;4;3;1;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Док 30;4.1;4;4;5;Это здание не имеет особых архитектурных особенностей.
Парк 32;2.4;1;5;3;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Свиноферма 69;3.4;5;3;5;Это великолепное здание!
Эскалатор 37;5.0;3;4;4;Это здание прекрасно вписывается в окружающий ландшафт.
Пандус 35;3.3;5;2;5;Это здание не имеет особых архитектурных особенностей.
Гусятник 50;4.8;4;4;3;Это здание представляет собой типичный образец современной архитектуры.
Конюшня 60;4.3;4;3;5;Это здание представляет собой типичный образец современной архитектуры.
Церковь 50;4.4;3;4;4;Это здание построено из стандартных строительных материалов.
Парк 16;1.4;3;4;2;Это здание представляет собой типичный образец современной архитектуры.
Эскалатор 93;2.1;4;3;4;Это здание не имеет особых архитектурных особенностей.
Институт 47;1.1;4;5;1;Это здание не имеет особых архитектурных особенностей.
Волчатник 91;1.7;4;1;2;Это здание является примером функционального дизайна.
Гнездо 84;2.7;1;5;4;Это здание является примером функционального дизайна.
Петля 100;4.6;4;5;2;Это великолепное здание!
Ангар 18;2.7;2;4;1;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Эскалатор 93;1.7;2;4;1;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Ферма 7;0.8;1;2;4;Это здание построено из стандартных строительных материалов.
Кафе 90;1.9;3;5;1;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Эскалатор 93;1.3;5;2;1;У этого здания отличная архитектура.
Путепровод 43;4.1;3;3;5;Это здание имеет стандартную конструкцию.
Парк 32;2.1;5;3;2;Это здание построено из стандартных строительных материалов.
Дуплянка 63;4.8;3;3;2;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Паутинник 25;1.8;2;5;1;Это здание представляет собой типичный образец современной архитектуры.
Борть 76;4.8;2;4;3;Это здание имеет стандартную конструкцию.
Гусятник 5;2.0;1;3;5;Это здание представляет собой типичный образец современной архитектуры.
Свиноферма 69;3.0;5;2;5;Это здание представляет собой типичный образец современной архитектуры.
Парк 55;0.6;2;4;1;Это здание построено из стандартных строительных материалов.
Эскалатор 93;2.9;3;5;5;Это здание не имеет особых архитектурных особенностей.
Логово 50;4.4;4;2;3;Это здание является примером функционального дизайна.
Парк 32;4.4;3;1;3;Это великолепное здание!
Мануфактура 89;3.4;4;4;3;Это здание является примером функционального дизайна.
Ресторан 42;4.4;4;4;3;Это великолепное здание!
Силок 93;1.1;2;5;2;Это великолепное здание!
Бункер 57;0.5;2;4;4;Это здание прекрасно вписывается в окружающий ландшафт.
Тоннель 30;1.9;2;1;4;Это здание не имеет особых архитектурных особенностей.
Свиноферма 69;5.0;2;1;3;Это здание построено из стандартных строительных материалов.
Свиноферма 69;0.6;4;1;4;Это великолепное здание!
Док 30;3.2;5;1;3;Это здание является примером функционального дизайна.
Ресторан 42;1.1;2;3;5;Это здание очень функционально.
Школа 1;4.1;5;5;1;Это здание не имеет особых архитектурных особенностей.
Свиноферма 8;3.2;4;4;4;Это здание представляет собой типичный образец современной архитектуры.
Отель 37;0.8;3;3;4;Мне нравится дизайн этого здания.
Автомойка 76;0.7;2;4;2;Это здание имеет стандартную конструкцию.
Волчатник 91;0.4;1;5;4;Это здание имеет стандартную конструкцию.
Гнездо 84;3.8;2;4;5;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Улей 14;2.6;1;4;3;Мне нравится дизайн этого здания.
Страусятник 25;0.5;2;5;2;Это здание представляет собой типичный образец современной архитектуры.
Волчатник 91;4.5;2;3;3;Мне нравится дизайн этого здания.
Супермаркет 32;1.0;4;5;3;Это здание имеет стандартную конструкцию.
Склад 16;3.0;4;2;3;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
ТЭЦ 23;1.6;3;5;1;Это великолепное здание!
Электростанция 69;3.6;4;2;4;Это здание не имеет особых архитектурных особенностей.
Борть 76;1.5;4;2;4;Это здание представляет собой типичный образец современной архитектуры.
Кафе 38;1.5;4;4;5;Это здание представляет собой типичный образец современной архитектуры.
Склад 16;2.7;4;3;4;Это великолепное здание!
Гусятник 98;2.9;1;3;1;Это здание построено из стандартных строительных материалов.
Парк 16;3.3;2;3;3;Это здание представляет собой типичный образец современной архитектуры.
Мансарда 25;3.1;3;1;3;Это здание представляет собой типичный образец современной архитектуры.
Эскалатор 37;0.4;1;2;3;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Дуплянка 63;0.8;5;3;3;Это здание является примером функционального дизайна.
Канализация 5;4.3;4;1;5;Это здание является примером функционального дизайна.
Улей 14;1.8;2;1;5;Это здание прекрасно вписывается в окружающий ландшафт.
Гусятник 98;0.8;1;4;3;Это великолепное здание!
Тоннель 30;3.1;3;3;4;Это здание построено из стандартных строительных материалов.
Скворечник 89;2.9;1;3;5;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Склад 76;0.5;2;4;5;Это здание является примером функционального дизайна.
Склад 16;0.3;1;5;1;Это здание представляет собой типичный образец современной архитектуры.
Лестница 83;2.2;2;2;4;Это здание имеет стандартную конструкцию.
Кладбище 46;0.2;1;3;1;Это здание не имеет особых архитектурных особенностей.
Церковь 50;3.1;4;5;4;Это здание прекрасно вписывается в окружающий ландшафт.
Лифт 59;3.4;5;3;3;Это здание представляет собой типичный образец современной архитектуры.
Кошара 38;0.2;1;2;5;Это здание является примером функционального дизайна.
Шале 62;2.7;3;5;2;Это здание построено из стандартных строительных материалов.
Силок 93;3.8;1;1;2;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Автомойка 76;0.6;2;2;5;Это здание имеет стандартную конструкцию.
Эскалатор 93;0.3;3;2;2;У этого здания отличная архитектура.
Путепровод 43;2.0;4;1;3;Это здание очень функционально.
Пандус 35;1.1;3;5;3;Это здание имеет стандартную конструкцию.
Курятник 85;5.0;3;4;5;Это здание представляет собой типичный образец современной архитектуры.
Улей 94;1.9;1;5;1;Это здание является примером функционального дизайна.
Мансарда 25;1.6;2;4;2;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Страусятник 25;2.2;3;3;4;Это здание представляет собой типичный образец современной архитектуры.
Склад 76;2.3;5;3;2;Это здание является примером функционального дизайна.
Дуплянка 30;1.4;4;1;3;Это здание прекрасно вписывается в окружающий ландшафт.
Лестница 83;1.1;5;5;1;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Сеть 63;2.9;1;5;3;Это великолепное здание!
Путепровод 43;4.7;5;3;4;Это здание построено из стандартных строительных материалов.
Мануфактура 89;4.6;1;5;3;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Тоннель 40;4.3;2;2;1;Это великолепное здание!
Свиноферма 69;0.8;2;1;4;Это здание очень функционально.
Мостки 78;5.0;2;4;1;У этого здания отличная архитектура.
Сеть 63;3.6;2;2;3;Это здание является примером функционального дизайна.
Цирк 63;3.6;3;2;2;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Шале 48;4.4;2;5;4;Это здание является примером функционального дизайна.
Офис 88;3.6;2;4;4;Это здание является примером функционального дизайна.
Больница 70;4.4;4;2;1;Это здание построено из стандартных строительных материалов.
Пандус 35;3.1;2;1;4;Это здание представляет собой типичный образец современной архитектуры.
Борть 76;5.0;1;3;5;Это здание очень функционально.
Газопровод 16;3.3;4;4;2;У этого здания отличная архитектура.
Бункер 57;4.2;2;4;3;У этого здания отличная архитектура.
Эскалатор 37;3.8;1;2;3;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Логово 53;4.0;4;4;1;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Замок 46;1.1;5;1;4;Это здание построено из стандартных строительных материалов.
Силок 93;2.1;1;5;5;Это здание имеет стандартную конструкцию.
Сеть 63;4.6;3;1;3;Это здание является примером функционального дизайна.
Гусятник 5;0.5;1;2;5;Это здание представляет собой типичный образец современной архитектуры.
Тоннель 30;2.1;2;4;1;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Тоннель 40;4.1;2;4;2;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Автомойка 6;0.8;3;1;3;Это здание построено из стандартных строительных материалов.
Тоннель 30;2.6;1;2;5;Это здание имеет стандартную конструкцию.
Эскалатор 37;1.6;5;2;5;Это здание построено из стандартных строительных материалов.
Гнездо 28;0.8;5;4;5;Это здание является примером функционального дизайна.
Канализация 71;4.1;1;2;2;Это здание представляет собой типичный образец современной архитектуры.
Логово 50;0.2;3;1;3;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Борть 76;2.5;4;5;4;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Эскалатор 37;3.7;2;4;5;Это здание имеет стандартную конструкцию.
Утятник 22;2.5;2;2;2;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Силок 93;4.7;4;1;2;Это здание очень функционально.
Свиноферма 69;4.6;4;3;1;Это здание является примером функционального дизайна.
Силок 93;4.3;2;2;4;У этого здания отличная архитектура.
Гусятник 98;2.1;5;5;3;Это здание прекрасно вписывается в окружающий ландшафт.
Док 30;2.3;5;5;4;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Кафе 90;3.8;2;4;2;Это здание построено из стандартных строительных материалов.
Страусятник 25;4.8;2;2;4;Это здание имеет стандартную конструкцию.
Ламарий 79;3.0;4;4;4;Это здание не имеет особых архитектурных особенностей.
Автомойка 6;0.9;1;2;4;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Эскалатор 93;1.0;3;5;1;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Ресторан 42;4.6;5;2;4;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Дуплянка 19;1.0;4;4;3;Мне нравится дизайн этого здания.
Парк 16;5.0;5;5;2;У этого здания отличная архитектура.
Нефтепровод 1;1.1;2;1;4;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Банк 25;4.8;1;3;1;Это здание построено из стандартных строительных материалов.
Лифт 59;1.7;2;2;2;Это здание представляет собой типичный образец современной архитектуры.
Лестница 83;0.1;5;5;4;Это великолепное здание!
Эскалатор 37;1.7;1;3;3;Это здание является примером функционального дизайна.
Нефтепровод 1;1.4;3;3;5;Это здание прекрасно вписывается в окружающий ландшафт.
Порт 13;2.1;2;4;4;Это здание прекрасно вписывается в окружающий ландшафт.
Тоннель 40;4.8;4;1;3;Это здание прекрасно вписывается в окружающий ландшафт.
Шале 62;1.6;3;2;4;Это здание прекрасно вписывается в окружающий ландшафт.
Логово 50;2.5;1;1;3;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Мостки 70;4.9;1;4;2;Это здание является примером функционального дизайна.
Гараж 50;0.8;2;4;4;Это здание имеет стандартную конструкцию.
Университет 24;0.6;2;4;2;Это здание имеет стандартную конструкцию.
Верфь 25;4.8;3;4;4;Это здание имеет стандартную конструкцию.
Док 30;4.1;3;3;5;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Шале 62;4.3;2;5;1;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Сеть 63;0.9;3;2;2;У этого здания отличная архитектура.
Страусятник 25;4.0;4;2;3;Это здание имеет стандартную конструкцию.
Верблюжатник 30;1.7;4;3;2;У этого здания отличная архитектура.
Кафе 87;3.2;1;4;3;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Школа 1;3.0;5;4;5;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Логово 50;3.9;1;5;3;Это великолепное здание!
Конюшня 60;2.5;3;4;2;Это здание прекрасно вписывается в окружающий ландшафт.
Ферма 7;4.2;4;4;2;Это здание прекрасно вписывается в окружающий ландшафт.
Ферма 7;2.2;3;4;1;Это здание имеет стандартную конструкцию.
Курятник 85;2.8;4;1;3;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
